num_id,source,a3_lbl,brand,amManu,country,countai,ai1,ai2,ai3,has_ml,ai1_mg,ai1_ml,ai2_mg,ai2_ml,ai3_mg,ai3_ml,strength_lbl,fdc,salt,salt_name,packtype,packsize,NAFDAC_REGNO,a3,ai1_no,ai2_no,ai3_no,gname_no,gname,amBrand,natapp,qaact,ID2,DateofWHOprequalification,RefNo,GlobalFundQAStandard,WHOPrequalificationSRA,Manufacturingsite,ID4,source5,amBrand_BEN,AMM23,AMM24,LaboratoireFabricant,originalorder,CMR24_ID,GB_ID,CHECK
NGA-1050,NAFDAC,LIQUID INJ.,A-B ARTEETHER,MAKCUR LABORATORIES LTD,INDIA,1,ARTEETHER,.,.,1,150,2,.,.,.,.,150mg/ 2ml,N/A,UNKNOWN,.,.,.,,6,63,.,.,63,ARTEETHER,A-B ARTEETHER | LIQUID INJ. | ARTEETHER | 150mg/ 2ml | MAKCUR LABORATORIES LTD,999*,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1
184,BEN AWL DATA,SUSPENSION,ACURE,EXPHA / JIANGSU RUINIAN QIANJIN PHARMA CO LTD,CHINA,2,ARTEMETHER,LUMEFANTRINE,.,0,40,5,240,5,.,.,40/5mg - 240/5mg,N/A,UNKNOWN,.,bottle,30,,5,61,74,.,40,AL,ACURE | SUSPENSION | ARTEMETHER LUMEFANTRINE | 40/5mg - 240/5mg | EXPHA / JIANGSU RUINIAN QIANJIN PHARMA CO LTD,999*,0,.,.,.,.,.,.,697,BEN - MANUAL,.,,,,,.,.,5
186,BEN AWL DATA,SUSPENSION,ACURE,EXPHA / JIANGSU RUINIAN QIANJIN PHARMA CO LTD,CHINA,2,ARTEMETHER,LUMEFANTRINE,.,0,60,5,360,5,.,.,60/5mg - 360/5mg,N/A,UNKNOWN,.,bottle,"30, 60",,5,61,74,.,40,AL,ACURE | SUSPENSION | ARTEMETHER LUMEFANTRINE | 60/5mg - 360/5mg | EXPHA / JIANGSU RUINIAN QIANJIN PHARMA CO LTD,999*,0,.,.,.,.,.,.,700,BEN - MANUAL,.,,,,,.,.,5
NGA-1368,NAFDAC,LIQUID INJ.,ADOTHER,RHYDBURG PHARMA LTD,INDIA,1,ARTEMETHER,.,.,1,80,1,.,.,.,.,80mg/ 1ml,N/A,UNKNOWN,.,vial/ ampoule,999*,,6,61,.,.,31,ARTEMETHER,ADOTHER | LIQUID INJ. | ARTEMETHER | 80mg/ 1ml | RHYDBURG PHARMA LTD,999*,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1
AwL_NGA_172,NGA-24-AwL,LIQUID INJ.,AFABETA,SWISS PARENTERALS PVT LTD,INDIA,1,ARTEETHER,.,.,1,150,2,.,.,.,.,150MG/2ML,N/A,NO,N/A,ampoule,3X2ML,999*,6,63,.,.,63,ARTEETHER,AFABETA | LIQUID INJ. | ARTEETHER | 150MG/2ML | SWISS PARENTERALS PVT LTD,999*,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0
NGA-0032,NAFDAC,DROPS,AFRAB CHLOROQUINE PHOSPHATE DROPS,AFRAB CHEM LTD,NIGERIA,1,CHLOROQUINE,.,.,1,37.5,1,.,.,.,.,37.5mg/ 1ml,N/A,YES,PHOSPHATE,,,#04-7341,8,68,.,.,4,CHLOROQUINE,AFRAB CHLOROQUINE PHOSPHATE DROPS | DROPS | CHLOROQUINE | 37.5mg/ 1ml | AFRAB CHEM LTD,999*,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2
NGA-0155,NAFDAC,LIQUID INJ.,AFRIMETHER,BHARAT PARENTERALS LTD,INDIA,1,ARTEMETHER,.,.,1,80,1,.,.,.,.,80mg/ 1ml,N/A,UNKNOWN,.,vial/ ampoule,999*,,6,61,.,.,31,ARTEMETHER,AFRIMETHER | LIQUID INJ. | ARTEMETHER | 80mg/ 1ml | BHARAT PARENTERALS LTD,999*,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1
AwL_NGA_369,NGA-24-AwL,POWDER INJ.,AFROMAL-120,"AVEO PHARMACEUTICALS PVT, LTD.",INDIA,1,ARTESUNATE,.,.,0,120,.,.,.,.,.,120MG,N/A,NO,N/A,vial,120MG,999*,7,65,.,.,32,ARTESUNATE,"AFROMAL-120 | POWDER INJ. | ARTESUNATE | 120MG | AVEO PHARMACEUTICALS PVT, LTD.",999*,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0
AwL_NGA_266,NGA-24-AwL,SYRUP,AGE-QUINE,NEW AGE PHARMA IND LTD,NIGERIA,1,CHLOROQUINE,.,.,1,50,5,.,.,.,.,50/MG/5ML (BASE),N/A,YES,PHOSPHATE,bottle,60ML,B4-1064,4,68,.,.,4,CHLOROQUINE,AGE-QUINE | SYRUP | CHLOROQUINE | 50/MG/5ML (BASE) | NEW AGE PHARMA IND LTD,999*,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0
AwL_NGA_265,NGA-24-AwL,POWDER INJ.,AKASON ARTESUNATE FOR INJECTION,KATARI PHARMA & STORES,NIGERIA,1,ARTESUNATE,.,.,0,60,.,.,.,.,.,60MG,N/A,NO,N/A,ampoule,1,C4-1525,7,65,.,.,32,ARTESUNATE,AKASON ARTESUNATE FOR INJECTION | POWDER INJ. | ARTESUNATE | 60MG | KATARI PHARMA & STORES,999*,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0
NGA-0789,NAFDAC,SUSPENSION,AKTEMAF,JIANGSU RUINIAN QIANJIN PHARMA CO LTD,CHINA,2,ARTEMETHER,LUMEFANTRINE,.,0,180,.,1080,.,.,.,180/1080mg,N/A,UNKNOWN,.,,,,5,61,74,.,40,AL,AKTEMAF | SUSPENSION | ARTEMETHER LUMEFANTRINE | 180/1080mg | JIANGSU RUINIAN QIANJIN PHARMA CO LTD,999*,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,3
261,CMR24,LIQUID INJ.,ALAXIN,GVS,INDIA,1,DIHYDROARTEMISININ,.,.,1,160,1,.,.,.,.,160mg/ 1ml,N/A,,,,FLACON/80 ML,,6,71,.,.,71,DIHYDROARTEMISININE,ALAXIN | LIQUID INJ. | DIHYDROARTEMISININ | 160mg/ 1ml | GVS,999*,0,.,.,.,.,.,.,.,.,.,,2840021,"GVS , 2,SWAMIGEHA,URSEKARWADI DOMBIVLI(E)- 421 201 MAHARASTRA, INDIA.",303,.,.,5
NGA-0263,NAFDAC,LIQUID INJ.,ALBETHER,COOPER PHARMA LTD,INDIA,1,ARTEETHER,.,.,1,150,2,.,.,.,.,150mg/ 2ml,N/A,UNKNOWN,.,,,,6,63,.,.,63,ARTEETHER,ALBETHER | LIQUID INJ. | ARTEETHER | 150mg/ 2ml | COOPER PHARMA LTD,999*,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,3
NGA-1032,NAFDAC,LIQUID INJ.,ALFALUM,MACKUR LABORATORIES LTD,INDIA,1,ARTEETHER,.,.,1,150,2,.,.,.,.,150mg/ 2ml,N/A,UNKNOWN,.,,,,6,63,.,.,63,ARTEETHER,ALFALUM | LIQUID INJ. | ARTEETHER | 150mg/ 2ml | MACKUR LABORATORIES LTD,999*,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,3
NGA-1578,NAFDAC,LIQUID INJ.,ALFAMETHER,SWISS PARENTERALS PVT LTD,INDIA,1,ARTEETHER,.,.,1,150,2,.,.,.,.,150mg/ 2ml,N/A,UNKNOWN,.,,,,6,63,.,.,63,ARTEETHER,ALFAMETHER | LIQUID INJ. | ARTEETHER | 150mg/ 2ml | SWISS PARENTERALS PVT LTD,999*,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,3
34,CMR,LIQUID INJ.,ALLNAT,AJANTA PHARMA LTD,INDIA; MAURITUIS,1,ARTESUNATE,.,.,1,120,1,.,.,.,.,120mg/ 1ml,N/A,UNKNOWN,.,vial/ ampoule,COMBIPACK CONTENANT: . 1 FLACON D'ARTESUNATE . 1 AMPOULE DE BICARBONATE DE SODIUM . 1 AMPOULE DE CHLORURE DE SODIUM ,,6,65,.,.,32,ARTESUNATE,ALLNAT | LIQUID INJ. | ARTESUNATE | 120mg/ 1ml | AJANTA PHARMA LTD,999*,0,.,.,.,.,.,.,.,.,.,14612203,,,,.,.,4
32,CMR,LIQUID INJ.,ALLNAT,AJANTA PHARMA LTD,INDIA; MAURITUIS,1,ARTESUNATE,.,.,1,30,1,.,.,.,.,30mg/ 1ml,N/A,UNKNOWN,.,vial/ ampoule,COMBIPACK CONTENANT : - 1 FLACON D'ARTESUNATE - 1 AMPOULE DE CHLORURE DE SODIUM - 1 AMPOULE DE BICARBONATE DE SODIUM ,,6,65,.,.,32,ARTESUNATE,ALLNAT | LIQUID INJ. | ARTESUNATE | 30mg/ 1ml | AJANTA PHARMA LTD,999*,0,.,.,.,.,.,.,.,.,.,14612201,,,,.,.,4
33,CMR,LIQUID INJ.,ALLNAT,AJANTA PHARMA LTD,INDIA; MAURITUIS,1,ARTESUNATE,.,.,1,60,1,.,.,.,.,60mg/ 1ml,N/A,UNKNOWN,.,vial/ ampoule,COMBI-PACK CONTENANT : - 1 FLACON D'ARTESUNATE POUR INJECTION 60 MG - 1 AMPOULE DE BICARBONATE DE SODIUM POUR INJECTION BP - AMPOULE DE 1 ML - 1 AMPOULE DE CHLORURE DE SODIUM POUR INJECTION BP 0 9% P/V - AMPOULE DE 5ML ,,6,65,.,.,32,ARTESUNATE,ALLNAT | LIQUID INJ. | ARTESUNATE | 60mg/ 1ml | AJANTA PHARMA LTD,999*,0,.,.,.,.,.,.,.,.,.,14612202,,,,.,.,4
NGA-1249,NAFDAC,LIQUID INJ.,AMAKIN ARTEMETHER,NORRIS MEDICINES LTD,INDIA,1,ARTEMETHER,.,.,1,80,1,.,.,.,.,80mg/ 1ml,N/A,UNKNOWN,.,vial/ ampoule,999*,,6,61,.,.,31,ARTEMETHER,AMAKIN ARTEMETHER | LIQUID INJ. | ARTEMETHER | 80mg/ 1ml | NORRIS MEDICINES LTD,999*,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1
NGA-1602,NAFDAC,LIQUID INJ.,AMAKIN ARTEMETHER,SWISS PHARMA PVT LTD,INDIA,1,ARTEMETHER,.,.,1,80,1,.,.,.,.,80mg/ 1ml,N/A,UNKNOWN,.,vial/ ampoule,999*,,6,61,.,.,31,ARTEMETHER,AMAKIN ARTEMETHER | LIQUID INJ. | ARTEMETHER | 80mg/ 1ml | SWISS PHARMA PVT LTD,999*,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1
NGA-1205,NAFDAC,SUSPENSION,AMATEM ORAL SUPENSION,MICRO LABS LTD,INDIA,2,ARTEMETHER,LUMEFANTRINE,.,0,180,.,1080,.,.,.,180/1080mg,N/A,UNKNOWN,.,,,,5,61,74,.,40,AL,AMATEM ORAL SUPENSION | SUSPENSION | ARTEMETHER LUMEFANTRINE | 180/1080mg | MICRO LABS LTD,999*,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,3
NGA-1579,NAFDAC,LIQUID INJ.,AMATEMETA FORMERLY AMATEM A,SWISS PARENTERALS PVT LTD,INDIA,1,ARTEMETHER,.,.,1,40,1,.,.,.,.,40mg/ 1ml,N/A,UNKNOWN,.,vial/ ampoule,999*,,6,61,.,.,31,ARTEMETHER,AMATEMETA FORMERLY AMATEM A | LIQUID INJ. | ARTEMETHER | 40mg/ 1ml | SWISS PARENTERALS PVT LTD,999*,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1
NGA-0282,NAFDAC,SUSPENSION,AMBIFAN-S,DATONG WEIHUA PHARMA CO LTD,CHINA,2,ARTEMETHER,LUMEFANTRINE,.,0,180,5,1080,5,.,.,180/5mg - 1080/5mg,N/A,UNKNOWN,.,,,,5,61,74,.,40,AL,AMBIFAN-S | SUSPENSION | ARTEMETHER LUMEFANTRINE | 180/5mg - 1080/5mg | DATONG WEIHUA PHARMA CO LTD,999*,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,3
NGA-0791,NAFDAC,GRANULE,AMDIN GRANULES,JIANGSU RUINIAN QIANJIN PHARMA CO LTD,CHINA,2,ARTESUNATE,MEFLOQUINE,.,0,50,.,125,.,.,.,50/125mg,N/A,UNKNOWN,.,,,,3,65,75,.,47,ASMQ,AMDIN GRANULES | GRANULE | ARTESUNATE MEFLOQUINE | 50/125mg | JIANGSU RUINIAN QIANJIN PHARMA CO LTD,999*,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,3
416,BEN AWL DATA,SUSPENSION,AMODIAQUINE,NEW GLOBAL PHARMA LTD,GHANA,1,AMODIAQUINE,.,.,0,50,5,.,.,.,.,50mg/ 5ml,N/A,UNKNOWN,.,bottle,60,,5,60,.,.,1,AMODIAQUINE,AMODIAQUINE | SUSPENSION | AMODIAQUINE | 50mg/ 5ml | NEW GLOBAL PHARMA LTD,999*,0,.,.,.,.,.,.,18,BEN - SEARCH,AMODIAQUINE - NEW GLOBAL,,,,,.,.,5
NGA-1014,NAFDAC,LIQUID INJ.,ANAMETHER,UNIJULES LIFE SCIENCES LTD,INDIA,1,ARTEMETHER,.,.,1,80,1,.,.,.,.,80mg/ 1ml,N/A,UNKNOWN,.,vial/ ampoule,999*,,6,61,.,.,31,ARTEMETHER,ANAMETHER | LIQUID INJ. | ARTEMETHER | 80mg/ 1ml | UNIJULES LIFE SCIENCES LTD,999*,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1
NGA-1015,NAFDAC,LIQUID INJ.,ANAMETHER-,UNIJULES LIFE SCIENCES LTD,INDIA,1,ARTEMETHER,.,.,1,20,1,.,.,.,.,20mg/ 1ml,N/A,UNKNOWN,.,vial/ ampoule,999*,,6,61,.,.,31,ARTEMETHER,ANAMETHER- | LIQUID INJ. | ARTEMETHER | 20mg/ 1ml | UNIJULES LIFE SCIENCES LTD,999*,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1
NGA-0008,NAFDAC,SUSPENSION,ANATE,ADAMS PHARMA (ANHUI) CO LTD,CHINA,2,ARTESUNATE,AMODIAQUINE,.,0,150,.,50,.,.,.,150/50mg,N/A,UNKNOWN,.,,,,5,65,60,.,44,ASAQ,ANATE | SUSPENSION | ARTESUNATE AMODIAQUINE | 150/50mg | ADAMS PHARMA (ANHUI) CO LTD,999*,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,3
NGA-0007,NAFDAC,SUSPENSION,ANATE,ADAMS PHARMA (ANHUI) CO LTD,CHINA,2,ARTESUNATE,AMODIAQUINE,.,0,75,.,25,.,.,.,75/25mg,N/A,UNKNOWN,.,,,,5,65,60,.,44,ASAQ,ANATE | SUSPENSION | ARTESUNATE AMODIAQUINE | 75/25mg | ADAMS PHARMA (ANHUI) CO LTD,999*,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,3
AwL_NGA_188,NGA-24-AwL,GRANULE,ANATE,FRONT PHARMA PLC,CHINA,2,AMODIAQUINE,ARTESUNATE,.,0,75,.,25,.,.,.,75/25MG,YES,NO,N/A,sachets,6,04-8257,3,65,60,.,44,ASAQ,ANATE | GRANULE | AMODIAQUINE ARTESUNATE | 75/25MG | FRONT PHARMA PLC,999*,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0
AwL_NGA_222,NGA-24-AwL,GRANULE,ANATE,HAVENTIS LTD,CHINA,2,AMODIAQUINE,ARTESUNATE,.,0,150,.,50,.,.,.,150/50mg,YES,NO,N/A,sachets,6,04-9256,3,65,60,.,44,ASAQ,ANATE | GRANULE | AMODIAQUINE ARTESUNATE | 150/50mg | HAVENTIS LTD,999*,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0
NGA-0493,NAFDAC,SUSPENSION,AQUAMAL,GLOBELA PHARMA PVT LTD,INDIA,2,ARTEMETHER,LUMEFANTRINE,.,0,180,.,1080,.,.,.,180/1080mg,N/A,UNKNOWN,.,,,,5,61,74,.,40,AL,AQUAMAL | SUSPENSION | ARTEMETHER LUMEFANTRINE | 180/1080mg | GLOBELA PHARMA PVT LTD,999*,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,3
240416_04,CMR PRODCUT ADDED DURING DATA COLLECTION,SUSPENSION,AQUAMAL,GLOBELA PHARMA PVT LTD,INDIA,2,ARTEMETHER,LUMEFANTRINE,.,0,20,5,120,5,.,.,20/5mg - 120/5mg,N/A,NO,.,bottle,60ML,,5,61,74,.,40,AL,AQUAMAL | SUSPENSION | ARTEMETHER LUMEFANTRINE | 20/5mg - 120/5mg | GLOBELA PHARMA PVT LTD,999*,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1
456,CMR,POWDER INJ.,AQUANATE,RENA EXPORTS PVT LTD ,INDIA,1,ARTESUNATE,.,.,0,30,1,.,.,.,.,30mg/ 1ml,N/A,UNKNOWN,.,vial/ ampoule,BOITE DE 1 FLACON AVEC 2 AMPOULES DE SOLVANTS ,,6,65,.,.,32,ARTESUNATE,AQUANATE | POWDER INJ. | ARTESUNATE | 30mg/ 1ml | RENA EXPORTS PVT LTD ,999*,0,.,.,.,.,.,.,.,.,.,19012304,,,,.,.,4
457,"CMR, BEN AWL DATA",POWDER INJ.,AQUANATE,RENA EXPORTS PVT LTD ,INDIA,1,ARTESUNATE,.,.,0,60,1,.,.,.,.,60mg/ 1ml,N/A,UNKNOWN,.,vial/ ampoule,BOITE 1 FLACON AVEC 2 AMPOULES DE SOLVANTS ,,6,65,.,.,32,ARTESUNATE,AQUANATE | POWDER INJ. | ARTESUNATE | 60mg/ 1ml | RENA EXPORTS PVT LTD ,999*,0,.,.,.,.,.,.,20,BEN - SEARCH,AQUANATE 60,19011701,,,,.,.,4
NGA-0167,NAFDAC,LIQUID INJ.,ARBITER,BHARAT PARENTERALS LTD,INDIA,1,ARTEETHER,.,.,1,150,2,.,.,.,.,150mg/ 2ml,N/A,UNKNOWN,.,,,B4-1812,6,63,.,.,63,ARTEETHER,ARBITER | LIQUID INJ. | ARTEETHER | 150mg/ 2ml | BHARAT PARENTERALS LTD,999*,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2
NGA-0156,NAFDAC,LIQUID INJ.,ARBITER ? ? ? ARTEETHER,BHARAT PARENTERALS LTD,INDIA,1,ARTEETHER,.,.,1,150,2,.,.,.,.,150mg/ 2ml,N/A,UNKNOWN,.,,,B4-1812,6,63,.,.,63,ARTEETHER,ARBITER ? ? ? ARTEETHER | LIQUID INJ. | ARTEETHER | 150mg/ 2ml | BHARAT PARENTERALS LTD,999*,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2
NGA-1009,NAFDAC,LIQUID INJ.,ARCOMETHER,STRIDES ARCOLAB LTD,INDIA,1,ARTEMETHER,.,.,1,80,1,.,.,.,.,80mg/ 1ml,N/A,UNKNOWN,.,vial/ ampoule,999*,,6,61,.,.,31,ARTEMETHER,ARCOMETHER | LIQUID INJ. | ARTEMETHER | 80mg/ 1ml | STRIDES ARCOLAB LTD,999*,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1
526,CMR24,LIQUID INJ.,ARCOMETHER,STRIDES PHARMA,CHINA,1,ARTEMETHER,.,.,1,80,1,.,.,.,.,80mg/ 1ml,N/A,,,,B/8,,6,61,.,.,31,ARTEMETHER,ARCOMETHER | LIQUID INJ. | ARTEMETHER | 80mg/ 1ml | STRIDES PHARMA,999*,0,.,.,.,.,.,.,.,.,.,,4930610,"STRIDES ARCOLAB LIMITED KUNMING PHARMACEUTICAL CORP ., STRIDES HOUSE, OPP II M-B, BILEKAHALLI, BANNERGHATTA ROAD, BANGALORE - 560 076, INDIA. 166 KEYI, ROAD STATE NEW AND HICH TECHNOLOGY DEVELOPMENT, ZONE KUNMING, 650106, YUNNAN PROVINCE, CHINA",97,.,.,5
NGA-1688,NAFDAC,SUSPENSION,ARENAX PLUS (ORANGE FLAVOURED),VAPI CARE PHARMA PVT LTD,INDIA,2,ARTEMETHER,LUMEFANTRINE,.,0,180,5,1080,5,.,.,180/5mg - 1080/5mg,N/A,UNKNOWN,.,,,,5,61,74,.,40,AL,ARENAX PLUS (ORANGE FLAVOURED) | SUSPENSION | ARTEMETHER LUMEFANTRINE | 180/5mg - 1080/5mg | VAPI CARE PHARMA PVT LTD,999*,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,3
NGA-1689,NAFDAC,SUSPENSION,ARENAX PLUS (STRAWBERRY FLAVOURED),VAPI CARE PHARMA PVT LTD,INDIA,2,ARTEMETHER,LUMEFANTRINE,.,0,180,5,1080,5,.,.,180/5mg - 1080/5mg,N/A,UNKNOWN,.,,,,5,61,74,.,40,AL,ARENAX PLUS (STRAWBERRY FLAVOURED) | SUSPENSION | ARTEMETHER LUMEFANTRINE | 180/5mg - 1080/5mg | VAPI CARE PHARMA PVT LTD,999*,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,3
NGA-0668,NAFDAC,LIQUID INJ.,ARENIN,INTRACIN PHARM PVT LTD,INDIA,1,ARTEMETHER,.,.,1,80,1,.,.,.,.,80mg/ 1ml,N/A,UNKNOWN,.,vial/ ampoule,999*,,6,61,.,.,31,ARTEMETHER,ARENIN | LIQUID INJ. | ARTEMETHER | 80mg/ 1ml | INTRACIN PHARM PVT LTD,999*,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1
NGA-0948,NAFDAC,LIQUID INJ.,ARH-A,LINCOLN,INDIA,1,ARTEMETHER,.,.,1,80,1,.,.,.,.,80mg/ 1ml,N/A,UNKNOWN,.,vial/ ampoule,999*,B4-1240,6,61,.,.,31,ARTEMETHER,ARH-A | LIQUID INJ. | ARTEMETHER | 80mg/ 1ml | LINCOLN,999*,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0
